pypsa_id,voltage,bus0,bus1,length_km,reasons_unmatched
way/40895968-380,380,way/942448206-380,DE27-380,3.9923,Unknown (may be duplicate path or parallel circuit)
way/1130668503-1-380,380,way/89043564-380,DE140-380,3.92333,Unknown (may be duplicate path or parallel circuit)
relation/5497488-380-b,380,DE14-380,DE13-380,3.8512199999999996,Unknown (may be duplicate path or parallel circuit)
relation/5497490-380-b,380,DE14-380,DE13-380,3.8512199999999996,Unknown (may be duplicate path or parallel circuit)
merged_relation/3693986-380-g+4,380,way/41334805-380,way/147878692-380,3.68391,Unknown (may be duplicate path or parallel circuit)
way/148211531-380-b,380,DE134-380,way/148211527-380,3.6225500000000004,No nearby JAO lines
way/33812397-380,380,way/871646309-380,way/24493551-380,3.58387,Unknown (may be duplicate path or parallel circuit)
merged_way/25090745-380+1,380,way/1303270458-380,way/23022100-380,3.52388,Unknown (may be duplicate path or parallel circuit)
way/157807786-380,380,way/714098678-380,way/442199284-380,3.48781,Unknown (may be duplicate path or parallel circuit)
way/290288900-380,380,way/311444692-380,way/311444691-380,3.45212,No nearby JAO lines
relation/12479461-380-a,380,way/22964137-380,DE96-380,3.41426,Unknown (may be duplicate path or parallel circuit)
merged_way/906381479-1-380+1,380,way/24462426-380,DE67-380,3.41384,Unknown (may be duplicate path or parallel circuit)
way/141161434-380,380,DE125-380,DE127-380,3.35563,No nearby JAO lines
merged_way/151689335-1-380+1,380,DE94-380,way/42797575-380,3.17246,Unknown (may be duplicate path or parallel circuit)
way/844126089-380,380,way/799361667-380,way/844075808-380,3.15169,No nearby JAO lines
way/844126085-380,380,way/799361667-380,way/844075808-380,3.14412,No nearby JAO lines
way/844126088-380,380,way/799361667-380,way/844075808-380,3.13658,No nearby JAO lines
way/844126084-380,380,way/799361667-380,way/844075808-380,3.12659,No nearby JAO lines
merged_way/74003877-380+1,380,DE27-380,way/942448206-380,2.69604,Unknown (may be duplicate path or parallel circuit)
way/1186186271-380,380,DE13-380,DE14-380,2.6631199999999997,Unknown (may be duplicate path or parallel circuit)
merged_way/109507318-1-380+2,380,DE80-380,way/1076001174-380,2.66133,Unknown (may be duplicate path or parallel circuit)
way/41339399-1-380,380,way/95434457-380,DE125-380,2.65304,No nearby JAO lines
way/1104699062-380,380,DE200-380,way/1093896544-380,2.44846,No nearby JAO lines
relation/1109599-380-c,380,DE75-380,way/32472806-380,2.37279,Unknown (may be duplicate path or parallel circuit)
way/1130668496-1-380,380,DE140-380,DE143-380,2.23345,Unknown (may be duplicate path or parallel circuit)
merged_way/29472854-1-380+4,380,way/150200540-380,way/29472852-380,2.11006,Unknown (may be duplicate path or parallel circuit)
relation/14595857-380-b,380,way/38661452-380,DE161-380,2.10081,Unknown (may be duplicate path or parallel circuit)
merged_way/207488613-380+1,380,DE127-380,DE128-380,2.03708,No nearby JAO lines
relation/1082953-380-a,380,way/25426571-380,DE141-380,1.92972,No nearby JAO lines
relation/1633120-380,380,way/24413992-380,DE49-380,1.79406,Unknown (may be duplicate path or parallel circuit)
way/31669070-380,380,way/883768277-380,way/883768276-380,1.69878,No nearby JAO lines
way/908473137-1-380,380,DE148-380,DE147-380,1.6305399999999999,Unknown (may be duplicate path or parallel circuit)
way/40854817-380,380,DE186-380,DE187-380,1.539,No nearby JAO lines
way/318302077-380,380,DE11-380,way/24502420-380,1.53465,Unknown (may be duplicate path or parallel circuit)
way/1002012656-380,380,way/951273401-380,way/871646309-380,1.41594,No nearby JAO lines
merged_way/200460375-1-380+2,380,way/35954395-380,DE207-380,1.3105,Unknown (may be duplicate path or parallel circuit)
way/1254852017-380,380,DE137-380,DE140-380,1.24756,Unknown (may be duplicate path or parallel circuit)
relation/3697399-380-b,380,DE185-380,DE184-380,1.0446600000000001,No nearby JAO lines
relation/10508903-225,225,way/129378915-225,way/90854143-225,15.62536,Non-standard voltage class; No nearby JAO lines
merged_way/478868126-2-220+2,220,way/25306752-220,way/25786404-220,124.11883,"Long line, possible cross-border or in area not covered by JAO"
relation/3945260-220,220,way/42050342-220,way/1327333163-220,104.85087,"Long line, possible cross-border or in area not covered by JAO"
merged_way/30132577-2-220+3,220,way/26472665-220,way/27149550-220,104.01132000000001,"Long line, possible cross-border or in area not covered by JAO"
relation/3866869-220,220,way/499165542-220,way/24705761-220,90.74392999999999,"Long line, possible cross-border or in area not covered by JAO"
relation/3918229-220-b,220,way/31367940-220,way/102743264-220,78.31377,"Long line, possible cross-border or in area not covered by JAO"
relation/2450379-220,220,way/114319248-220,way/33411203-220,61.51272,"Long line, possible cross-border or in area not covered by JAO"
relation/1177425-220,220,way/946710698-220,way/1091984573-220,56.47569,"Long line, possible cross-border or in area not covered by JAO"
relation/1177426-220,220,way/946710698-220,way/1091984573-220,56.47569,"Long line, possible cross-border or in area not covered by JAO"
relation/240489-220,220,way/40621568-220,way/27149550-220,55.04198,"Long line, possible cross-border or in area not covered by JAO"
relation/240490-220,220,way/40621568-220,way/27149550-220,55.04198,"Long line, possible cross-border or in area not covered by JAO"
merged_way/128714149-1-220+4,220,DE166-220,way/149987048-220,54.21815,"Long line, possible cross-border or in area not covered by JAO"
merged_way/111963058-3-220+7,220,way/42861703-220,DE39-220,42.03079,"Long line, possible cross-border or in area not covered by JAO"
merged_way/38243743-2-220+6,220,DE100-220,DE122-220,41.758160000000004,"Long line, possible cross-border or in area not covered by JAO"
relation/1636782-220,220,way/1094015892-220,way/32318130-220,41.47189,"Long line, possible cross-border or in area not covered by JAO"
merged_way/200409374-220+3,220,DE180-220,way/1327333163-220,36.86588,"Long line, possible cross-border or in area not covered by JAO"
relation/3861963-220,220,way/28956649-220,way/29417741-220,35.6562,"Long line, possible cross-border or in area not covered by JAO"
merged_way/781632468-3-220+3,220,DE39-220,way/61918154-220,34.781330000000004,"Long line, possible cross-border or in area not covered by JAO"
relation/3888200-220-a,220,way/957746797-220,way/28397771-220,34.32038,"Long line, possible cross-border or in area not covered by JAO"
